Module,"Field Name","Field Type",Label,"Label Source",Required,"Read Only",Custom,"Linked Entity","DB Table","DB Column(s)","DB Column Type(s)","Options / Definition Details"
Account,intel_cargo_type,text,"Cargo Type (AI)",i18n:fields,,,yes,,account,intel_cargo_type,mediumtext,
Account,intel_confidence,enum,"Confidence (AI)",i18n:fields,,,yes,,account,intel_confidence,varchar(255),options=[|High|Medium|Low]
Account,intel_cross_sell,text,"Cross-Sell Opportunities (AI)",i18n:fields,,,yes,,account,intel_cross_sell,mediumtext,
Account,intel_dba,text,"Doing Business As (AI)",i18n:fields,,,yes,,account,intel_dba,mediumtext,
Account,intel_dot_incidents,int,"Department of Transportation Incidents (AI)",i18n:fields,,,yes,,account,intel_dot_incidents,int,
Account,intel_employee_count,int,"Employee Count (AI)",i18n:fields,,,yes,,account,intel_employee_count,int,
Account,intel_entity_type,enum,"Entity Type (AI)",i18n:fields,,,yes,,account,intel_entity_type,varchar(255),"options=[|LLC|Corp|Sole Prop|Partnership|Other]"
Account,intel_fleet_size,int,"Fleet Size (AI)",i18n:fields,,,yes,,account,intel_fleet_size,int,
Account,intel_growth_indicator,text,"Growth Indicator (AI)",i18n:fields,,,yes,,account,intel_growth_indicator,mediumtext,
Account,intel_legal_name,text,"Legal Name (AI)",i18n:fields,,,yes,,account,intel_legal_name,mediumtext,
Account,intel_linkedin_notes,text,"LinkedIn Notes (AI)",i18n:fields,,,yes,,account,intel_linkedin_notes,mediumtext,
Account,intel_linkedin_url,url,"LinkedIn URL (AI)",i18n:fields,,,yes,,account,intel_linkedin_url,varchar(255),
Account,intel_naics,text,"North American Industry Classification System Code (AI)",i18n:fields,,,yes,,account,intel_naics,mediumtext,
Account,intel_news_notes,text,"News Notes (AI)",i18n:fields,,,yes,,account,intel_news_notes,mediumtext,
Account,intel_operating_radius,text,"Operating Radius (AI)",i18n:fields,,,yes,,account,intel_operating_radius,mediumtext,
Account,intel_osha_violations,text,"Occupational Safety and Health Administration Violations (AI)",i18n:fields,,,yes,,account,intel_osha_violations,mediumtext,
Account,intel_owner_operators,bool,"Owner Operators on Payroll (AI)",i18n:fields,,,yes,,account,intel_owner_operators,tinyint(1),
